Company,Gründer,Link
LQ Enterprise GmbH,Oliver Queck,https://www.linkedin.com/in/oliverqueck/
JAAI | JUST ADD AI,,https://www.linkedin.com/company/justaddai/
JAAI | JUST ADD AI,Roland Becker,https://www.linkedin.com/in/roland-becker-7b94621/
Kauz GmbH,,https://www.linkedin.com/company/kauz-gmbh/
Kauz GmbH,Thomas Ruedel,https://www.linkedin.com/in/thomas-ruedel-92980985/
key2contract,,https://www.linkedin.com/company/key2contract/
key2contract,Achim Wehinger,https://www.linkedin.com/in/achim-wehinger/
key2contract,Leonid Mechik,https://www.linkedin.com/in/leonid-mechik/
KIProtect,,https://www.linkedin.com/company/kiprotect/
KIProtect,Andreas Dewes,https://www.linkedin.com/in/andreas-dewes-39a53b13/
Kiron Digital Learning Solutions,,https://www.linkedin.com/company/kiron-digital/
Kiron Digital Learning Solutions,Tobias Ernst,https://www.linkedin.com/in/tobiasernst/
mecodia GmbH,,https://www.linkedin.com/company/mecodia-gmbh/
mecodia GmbH,Fabian Sauer,https://www.linkedin.com/in/fabian-sauer-57921844/
mecodia GmbH,Florian Beutenmüller,https://www.linkedin.com/in/florian-beutenm%C3%BCller-130975174/
mecodia GmbH,Markus Andreas Merkle,https://www.linkedin.com/in/markusmerkle/
mecodia GmbH,Philipp Wahju,https://www.linkedin.com/in/wahju/
mecodia GmbH,Felix Ebner,https://www.linkedin.com/in/felix-ebner/
mecodia GmbH,Florian Greinert,https://www.linkedin.com/in/florian-greinert/
mecodia GmbH,Tobias Birmili,https://www.linkedin.com/in/tobias-birmili/
mecodia GmbH,Florican Demaku,https://www.linkedin.com/in/florian-demaku/
Komuno,,https://www.linkedin.com/school/komunoclub/
Komuno,Robert Oswin Wassmer,https://www.linkedin.com/in/robert-wassmer-48129751/
Komuno,Susan Niederhöfer,https://www.linkedin.com/in/susan-niederh%C3%B6fer-38979a53/
Konfuzio,,https://www.linkedin.com/company/ai-software-konfuzio/
Konfuzio,Christopher Vincent Helm,https://www.linkedin.com/in/christopher-helm-public/
Konfuzio,Julius Wenzel Nagel,
L21s,,https://www.linkedin.com/company/l21s/
L21s,Jan Schmitz-Hermes,https://www.linkedin.com/in/jan-schmitz-hermes-ba30a5b1/
Ladeplan,,https://www.linkedin.com/company/ladeplan/
Ladeplan,Till Schlief,https://www.linkedin.com/in/till-schlief-130b0a1aa/
Ladeplan,Benjamin Kasten,https://www.linkedin.com/in/benjamin-kasten/
Langlauf Security Autmation GmbH,,https://www.linkedin.com/company/langlauf-security-automation-gmbh/
Langlauf Security Autmation GmbH,Jan Stijohann,https://www.linkedin.com/in/stijohann/
Langlauf Security Autmation GmbH,Jan Hendrik Hammer,https://www.linkedin.com/in/dr-jan-hendrik-hammer-9786237b/
